Sell ID,Name,Type,Price
301,Pawan Negi,All-Rounder,"2,00,00,000"
302,Venkatesh Iyer,All-Rounder,"1,00,00,000"
303,Arjun Tendulkar,All-Rounder," 20,00,000"
304,Moises Henriques,All-Rounder,"1,00,00,000"
305,Dawid Malan,All-Rounder,"1,50,00,000"
306,Utkarsh Singh,All-Rounder,"1,00,00,000"
307,Christopher Morris,All-Rounder,"2,00,00,000"
308,Glenn Maxwell,All-Rounder,"2,00,00,000"
309,Dan Christian,All-Rounder,"1,00,00,000"
310,Sachin Baby,Batsman,"1,00,00,000"
311,Rajat Patidar,Batsman,"1,00,00,000"
312,Kona Srikar Bharat,Wicket Keeper," 20,00,000"
313,Kedar Jadhav,All-Rounder,"2,00,00,000"
314,Mujeeb Zadran,Bowler,"1,50,00,000"
315,J Suchith,Bowler,"1,00,00,000"
316,Alex Carey,Wicket Keeper,"1,00,00,000"
317,Tushar Deshpande,Bowler,"1,00,00,000"
318,Sheldon Cottrell,Bowler,"2,00,00,000"
319,Ravi Bishnoi,Bowler,"2,00,00,000"
320,Eoin Morgan,Batsman,"2,00,00,000"
321,Tom Banton,Batsman,"1,00,00,000"
322,Rahul Tripathi,Batsman,"2,00,00,000"
323,Chris Green,All-Rounder,"1,00,00,000"
324,Nikhil Shankar Naik,Wicket Keeper,"1,00,00,000"
325,Pravin Tambe,Bowler,"1,00,00,000"
326,M Siddharth,Bowler,"1,00,00,000"
327,Chris Lynn,Batsman,"2,00,00,000"
328,Digvijay Deshmukh,All-Rounder,"1,00,00,000"
329,Prince Balwant Rai Singh,All-Rounder,"1,00,00,000"
330,Yashasvi Jaiswal,All-Rounder,"1,00,00,000"
331,Oshane Thomas,Bowler,"2,00,00,000"
332,Anirudha Ashok Joshi,All-Rounder,"1,00,00,000"
333,Isuru Udana,All-Rounder,"2,00,00,000"
334,Shahbaz Ahamad,Wicket Keeper,"1,00,00,000"
335,Joshua Philippe,Wicket Keeper,"1,00,00,000"
336,Pavan Deshpande,All-Rounder,"1,00,00,000"
337,Priyam Garg,Batsman,"1,90,00,000"
338,Virat Singh,Batsman,"1,90,00,000"
339,Sandeep Bavanaka,All-Rounder,"1,00,00,000"
340,Sanjay Yadav,All-Rounder,"1,00,00,000"
341,Abdul Samad,All-Rounder,"1,00,00,000"
342,Colin Ingram,Batsman,"2,00,00,000"
343,Axar Rajesh Patel,All-Rounder,"1,00,00,000"
344,Hanuma Vihari,Batsman,"2,00,00,000"
345,Keemo Paul,All-Rounder,"2,00,00,000"
346,Ankush Bains,Wicket Keeper,"1,00,00,000"
347,Nathu Singh,Bowler,"1,00,00,000"
348,Bandaru Ayyappa,Bowler,"1,00,00,000"
349,Varun Chakaravarthy,All-Rounder,"2,00,00,000"
350,Hardus Viljoen,Bowler,"2,00,00,000"
